datetime,sentiment_score
2025-04-25 20:36:00,0.9738
2025-04-25 21:00:00,0.9408
2025-04-25 21:19:00,0.9736
2025-04-25 21:23:00,0.989
2025-04-25 21:40:00,0.9994
2025-04-25 23:00:00,-0.9327
2025-04-28 02:14:00,0.9464
2025-04-28 06:04:00,0.9955
2025-04-28 06:04:00,0.9931
2025-04-28 07:03:00,0.0772
2025-04-28 07:14:00,0.9987
2025-04-28 07:14:00,0.999
2025-04-28 07:15:00,0.9966
2025-04-28 07:58:00,0.9925
2025-04-28 08:17:00,0.9993
2025-04-28 08:20:00,0.9992
2025-04-28 08:20:00,0.9992
2025-04-28 08:20:00,0.9991
2025-04-28 08:21:00,0.9992
2025-04-28 08:21:00,0.9988
2025-04-28 08:21:00,0.9988
2025-04-28 08:21:00,0.9987
2025-04-28 08:21:00,0.9984
2025-04-28 08:50:00,0.994
2025-04-28 09:00:00,0.9996
2025-04-28 09:00:00,0.9988
2025-04-28 09:00:00,0.973
2025-04-28 09:00:00,0.9958
2025-04-28 09:00:00,0.9998
2025-04-28 09:00:00,0.983
2025-04-28 09:00:00,0.9938
2025-04-28 09:00:00,0.9766
2025-04-28 09:00:00,0.9932
2025-04-28 09:00:00,0.3612
2025-04-28 09:00:00,0.995
2025-04-28 09:00:00,0.9369
2025-04-28 09:00:00,0.9994
2025-04-28 09:00:00,0.9963
2025-04-28 09:00:00,0.9952
2025-04-28 09:00:00,0.9552
2025-04-28 09:00:00,0.9991
2025-04-28 09:00:00,0.9963
2025-04-28 09:00:00,0.9985
2025-04-28 09:00:00,0.1779
2025-04-28 09:00:00,0.999
2025-04-28 09:00:00,-0.0129
2025-04-28 09:00:00,0.882
2025-04-28 09:00:00,0.9989
2025-04-28 09:00:00,0.9986
2025-04-28 09:00:00,0.993
2025-04-28 09:00:00,0.9987
2025-04-28 09:00:00,0.9988
2025-04-28 09:00:00,0.9989
2025-04-28 09:00:00,0.999
2025-04-28 09:00:00,0.9988
2025-04-28 09:00:00,0.9983
2025-04-28 09:00:00,0.9984
2025-04-28 09:00:00,0.9992
2025-04-28 09:00:00,0.9984
2025-04-28 09:00:00,0.9991
2025-04-28 09:00:00,0.9897
2025-04-28 09:00:00,0.9991
2025-04-28 09:00:00,0.9988
2025-04-28 09:00:00,0.9993
2025-04-28 09:00:00,0.9989
2025-04-28 09:00:00,0.9994
